species,tolid,from,link,phylum,order,family,tolqc,farm,taxon
Allantoparmelia_alpicola,glAllAlpi,darwin,darwin,Ascomycota,Lecanorales,Parmeliaceae,https://tolqc.cog.sanger.ac.uk/darwin/fungi/Allantoparmelia_alpicola,/data/tol/data/darwin/fungi/Allantoparmelia_alpicola,180470
Caloplaca_littorea,glCalLitt,asg,asg,Ascomycota,Teloschistales,Teloschistaceae,https://tolqc.cog.sanger.ac.uk/asg/fungi/Caloplaca_littorea,/data/tol/data/asg/fungi/Caloplaca_littorea,2972760
Cetraria_islandica,glCetIsla,darwin,darwin,Ascomycota,Lecanorales,Parmeliaceae,https://tolqc.cog.sanger.ac.uk/darwin/fungi/Cetraria_islandica,/data/tol/data/darwin/fungi/Cetraria_islandica,78064
Cetraria_muricata,glCetMuri,darwin,darwin,Ascomycota,Lecanorales,Parmeliaceae,https://tolqc.cog.sanger.ac.uk/darwin/fungi/Cetraria_muricata,/data/tol/data/darwin/fungi/Cetraria_muricata,121110
Cladonia_diversa,glClaDive,asg/tol,asg,Ascomycota,Lecanorales,Cladoniaceae,https://tolqc.cog.sanger.ac.uk/asg/fungi/Cladonia_diversa,/data/tol/data/tol/fungi/Cladonia_diversa,50926
Cladonia_portentosa,glClaPort,asg/tol,asg,Ascomycota,Lecanorales,Cladoniaceae,https://tolqc.cog.sanger.ac.uk/asg/fungi/Cladonia_portentosa,/data/tol/data/tol/fungi/Cladonia_portentosa,50943
Cladonia_squamosa,glClaSqua,darwin/tol,darwin,Ascomycota,Lecanorales,Cladoniaceae,https://tolqc.cog.sanger.ac.uk/darwin/fungi/Cladonia_squamosa,/data/tol/data/tol/fungi/Cladonia_squamosa,174074
Cladonia_zopfii,glClaZopf,darwin,darwin,Ascomycota,Lecanorales,Cladoniaceae,https://tolqc.cog.sanger.ac.uk/darwin/fungi/Cladonia_zopfii,/data/tol/data/darwin/fungi/Cladonia_zopfii,197139
Cystocoleus_ebeneus,gdCysEben,asg,asg,Ascomycota,Capnodiales,Cystocoleaceae,https://tolqc.cog.sanger.ac.uk/asg/fungi/Cystocoleus_ebeneus,/data/tol/data/asg/fungi/Cystocoleus_ebeneus,476042
Ephebe_lanata,glEphLana,asg/darwin/tol,asg,Ascomycota,Lichinales,Lichinaceae,https://tolqc.cog.sanger.ac.uk/asg/fungi/Ephebe_lanata,/data/tol/data/tol/fungi/Ephebe_lanata,2886949
Flavoplaca_marina,glFlaMari,asg/darwin/tol,asg,Ascomycota,Teloschistales,Teloschistaceae,https://tolqc.cog.sanger.ac.uk/asg/fungi/Flavoplaca_marina,/data/tol/data/tol/fungi/Flavoplaca_marina,1301332
Gowardia_nigricans,glGowNigr,darwin,darwin,Ascomycota,Lecanorales,Parmeliaceae,https://tolqc.cog.sanger.ac.uk/darwin/fungi/Gowardia_nigricans,/data/tol/data/darwin/fungi/Gowardia_nigricans,413822
